ts total_used_gb shm_gb pss_total_gb pss_actors_gb pss_forked_gb n_proc top3
06:28:24 9.3 0.0 0.0 0.0 0.0 0 
06:28:44 9.9 0.0 1.0 1.0 0.0 1 1099522:1.0G:python3
07:09:21 115.7 30.9 104.9 87.8 17.1 94 1104037:36.5G:ay::TaskRunner.run|1104349:21.7G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:09:43 115.6 30.9 105.0 88.0 17.1 94 1104037:36.5G:ay::TaskRunner.run|1104349:21.8G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:10:06 122.8 30.9 109.4 92.3 17.1 94 1104037:36.5G:ay::TaskRunner.run|1104349:26.2G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
07:10:29 141.4 30.9 127.5 110.4 17.1 94 1104037:58.8G:ay::TaskRunner.run|1104349:21.9G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
07:10:52 143.8 30.9 130.9 113.9 17.1 94 1104349:47.5G:rollout_update_act|1104037:36.7G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
07:11:14 116.1 30.9 105.1 88.0 17.1 94 1104037:36.7G:ay::TaskRunner.run|1104349:21.7G:rollout_update_act|1105605:15.2G:VLLM::Worker
07:11:37 115.7 30.9 105.5 88.4 17.1 94 1104037:36.7G:ay::TaskRunner.run|1104349:22.0G:rollout_update_act|1105605:15.2G:VLLM::Worker
07:12:00 116.1 30.9 105.1 88.0 17.1 94 1104037:36.7G:ay::TaskRunner.run|1104349:21.7G:rollout_update_act|1105605:15.2G:VLLM::Worker
07:12:22 115.7 30.9 105.5 88.4 17.1 94 1104037:36.7G:ay::TaskRunner.run|1104349:22.0G:rollout_update_act|1105605:15.2G:VLLM::Worker
07:12:45 116.2 30.9 105.6 88.5 17.1 94 1104037:36.7G:ay::TaskRunner.run|1104349:22.2G:rollout_update_act|1105605:15.2G:VLLM::Worker
07:13:08 115.7 30.9 105.1 88.0 17.1 94 1104037:36.7G:ay::TaskRunner.run|1104349:21.7G:rollout_update_act|1105605:15.2G:VLLM::Worker
07:13:30 115.7 30.9 105.6 88.5 17.1 94 1104037:36.7G:ay::TaskRunner.run|1104349:22.2G:rollout_update_act|1105605:15.2G:VLLM::Worker
07:13:53 116.2 30.9 105.1 88.0 17.1 94 1104037:36.7G:ay::TaskRunner.run|1104349:21.7G:rollout_update_act|1105605:15.2G:VLLM::Worker
07:14:16 115.7 30.9 105.1 88.0 17.1 94 1104037:36.7G:ay::TaskRunner.run|1104349:21.7G:rollout_update_act|1105605:15.2G:VLLM::Worker
07:14:38 115.7 30.9 105.1 88.0 17.1 94 1104037:36.7G:ay::TaskRunner.run|1104349:21.7G:rollout_update_act|1105605:15.2G:VLLM::Worker
